,country,GDP,Unemployment,Mortality,InflationRate,International Arrivals,TourismExpenditure
0,Brazil,1767209538519.1597,12.2482,11.84,5.638272075879085,2594800.0,9979400000.0
1,China,15729249878329.5,4.661199999999999,6.18,2.0696074301502603,70309200.0,0.0
2,France,2779924182397.738,8.149,3.4800000000000004,2.0600535505688224,109396800.0,30015000000.0
3,Germany,4016892986830.346,3.3878,2.94,2.652389508908718,18178600.0,40946600000.0
4,India,2949105597540.9443,7.879599999999999,26.74,5.224442118231022,7067400.0,14032400000.0
5,Japan,4888868465317.252,2.6122,1.94,0.7394449851404581,13437559.9609375,12796800000.0
6,"Korea, Rep.",1699356548704.018,3.5856000000000003,2.44,1.9964697236616398,7073800.0,18013200000.0
7,Russian Federation,1784166832001.4038,3.9319999999999995,4.5200000000000005,3.4849564272071527,11065800.0,18040400000.0
8,United Kingdom,2926593446728.148,4.1218,3.4400000000000004,3.092170227143628,18448200.0,0.0
9,United States,22350457520800.0,4.916200000000001,5.08,3.6378072905306524,75967984.375,82346800000.0
